iter	Passed	Remaining
0	144	144846
1	146	72944
2	147	48898
3	148	36877
4	149	29694
5	151	25056
6	152	21700
7	153	19091
8	154	17064
9	155	15439
10	157	14126
11	158	13034
12	159	12101
13	160	11300
14	161	10599
15	162	9987
16	163	9480
17	165	9042
18	167	8639
19	168	8250
20	169	7897
21	170	7582
22	171	7295
23	172	7026
24	173	6783
25	175	6557
26	176	6345
27	177	6149
28	179	6000
29	180	5846
30	182	5694
31	183	5548
32	184	5406
33	185	5275
34	186	5146
35	187	5028
36	188	4916
37	189	4808
38	190	4705
39	192	4627
40	194	4538
41	195	4458
42	196	4373
43	197	4294
44	198	4215
45	199	4139
46	200	4065
47	201	3997
48	202	3932
49	203	3868
50	204	3808
51	206	3771
52	208	3730
53	209	3677
54	210	3624
55	212	3575
56	213	3526
57	214	3479
58	215	3435
59	216	3392
60	217	3347
61	218	3304
62	219	3265
63	221	3242
64	223	3213
65	224	3176
66	225	3139
67	226	3105
68	227	3073
69	228	3039
70	229	3007
71	230	2975
72	231	2945
73	232	2914
74	233	2885
75	236	2874
76	238	2854
77	239	2827
78	240	2800
79	241	2775
80	242	2750
81	243	2724
82	243	2694
83	244	2670
84	245	2646
85	246	2622
86	247	2601
87	249	2585
88	251	2570
89	252	2555
90	253	2534
91	254	2514
92	256	2497
93	257	2480
94	258	2460
95	259	2441
96	260	2423
97	261	2406
98	262	2388
99	263	2373
100	265	2365
101	267	2353
102	268	2337
103	269	2321
104	270	2307
105	271	2292
106	272	2276
107	273	2260
108	274	2245
109	275	2230
110	276	2215
111	277	2200
112	279	2197
113	281	2189
114	282	2176
115	283	2162
116	284	2147
117	285	2134
118	286	2122
119	287	2110
120	288	2098
121	289	2084
122	290	2072
123	291	2059
124	292	2048
125	294	2044
126	295	2033
127	297	2024
128	298	2013
129	299	2003
130	300	1993
131	301	1982
132	302	1971
133	303	1961
134	304	1950
135	305	1940
136	306	1930
137	307	1921
138	309	1917
139	311	1911
140	312	1901
141	312	1890
142	314	1881
143	315	1873
144	316	1864
145	317	1857
146	318	1848
147	319	1839
148	320	1830
149	321	1822
150	323	1817
151	324	1812
152	326	1806
153	327	1798
154	328	1790
155	329	1784
156	330	1776
157	331	1768
158	332	1760
159	333	1752
160	334	1743
161	335	1735
162	336	1729
163	338	1726
164	340	1723
165	341	1716
166	342	1708
167	343	1701
168	344	1695
169	345	1688
170	346	1681
171	347	1674
172	348	1667
173	349	1660
174	350	1653
175	353	1653
176	354	1650
177	356	1644
178	357	1637
179	358	1631
180	359	1625
181	360	1618
182	361	1612
183	362	1606
184	363	1600
185	364	1593
186	365	1587
187	366	1582
188	368	1580
189	370	1578
190	371	1571
191	372	1565
192	373	1560
193	374	1556
194	375	1550
195	376	1545
196	377	1538
197	378	1533
198	379	1527
199	380	1521
200	381	1518
201	383	1515
202	384	1511
203	386	1506
204	387	1501
205	388	1496
206	389	1491
207	390	1487
208	391	1481
209	392	1476
210	393	1471
211	394	1466
212	395	1460
213	396	1457
214	398	1454
215	399	1451
216	400	1446
217	402	1442
218	403	1437
219	404	1432
220	405	1428
221	406	1423
222	407	1418
223	408	1414
224	409	1409
225	410	1405
226	412	1404
227	413	1401
228	415	1399
229	416	1395
230	418	1392
231	419	1389
232	421	1385
233	422	1384
234	424	1381
235	427	1384
236	429	1384
237	431	1381
238	432	1376
239	433	1372
240	434	1368
241	435	1364
242	436	1360
243	437	1356
244	438	1351
245	439	1347
246	440	1344
247	442	1342
248	443	1338
249	444	1334
250	445	1330
251	446	1326
252	447	1321
253	448	1318
254	449	1314
255	450	1309
256	451	1306
257	452	1302
258	453	1298
259	454	1294
260	456	1293
261	458	1290
262	459	1286
263	460	1282
264	461	1279
265	462	1275
266	463	1271
267	464	1267
268	465	1264
269	466	1260
270	467	1256
271	468	1252
272	469	1248
273	470	1246
274	471	1244
275	473	1241
276	474	1238
277	475	1234
278	476	1231
279	477	1228
280	478	1224
281	479	1221
282	480	1217
283	481	1213
284	482	1210
285	483	1207
286	485	1205
287	486	1203
288	487	1200
289	488	1197
290	489	1193
291	490	1190
292	491	1186
293	492	1183
294	493	1179
295	494	1176
296	495	1173
297	496	1170
298	497	1166
299	498	1163
300	500	1161
301	502	1160
302	503	1157
303	504	1154
304	505	1151
305	506	1147
306	507	1144
307	508	1141
308	509	1138
309	510	1135
310	511	1132
311	512	1129
312	513	1126
313	514	1124
314	516	1122
315	517	1120
316	518	1117
317	519	1114
318	520	1110
319	521	1108
320	522	1105
321	523	1102
322	524	1099
323	525	1096
324	526	1093
325	527	1090
326	528	1088
327	530	1086
328	531	1084
329	532	1081
330	533	1078
331	534	1075
332	535	1072
333	536	1069
334	537	1066
335	538	1064
336	539	1061
337	540	1058
338	541	1056
339	542	1053
340	544	1052
341	545	1050
342	546	1047
343	547	1044
344	548	1041
345	549	1039
346	550	1036
347	551	1033
348	552	1031
349	553	1028
350	555	1026
351	556	1023
352	557	1020
353	557	1018
354	559	1016
355	560	1014
356	561	1011
357	562	1008
358	563	1006
359	564	1003
360	565	1001
361	566	998
362	567	996
363	568	993
364	569	991
365	570	988
366	571	986
367	572	984
368	574	982
369	576	981
370	577	978
371	578	976
372	579	973
373	580	971
374	581	969
375	582	966
376	583	964
377	584	961
378	585	958
379	586	956
380	587	954
381	588	952
382	590	950
383	591	948
384	591	945
385	592	942
386	593	940
387	594	938
388	595	935
389	596	933
390	597	930
391	598	928
392	599	926
393	600	924
394	601	921
395	603	920
396	605	919
397	606	917
398	607	914
399	608	912
400	609	910
401	610	908
402	611	905
403	612	903
404	613	901
405	614	898
406	615	896
407	616	894
408	617	892
409	619	891
410	620	889
411	621	886
412	622	884
413	623	882
414	624	880
415	625	877
416	626	875
417	627	873
418	628	871
419	629	868
420	630	866
421	631	864
422	632	863
423	634	861
424	635	859
425	636	857
426	637	855
427	638	853
428	639	851
429	641	850
430	642	848
431	644	846
432	645	844
433	646	842
434	648	842
435	649	840
436	651	838
437	652	836
438	653	835
439	654	832
440	655	831
441	656	828
442	657	827
443	659	825
444	660	823
445	662	822
446	663	820
447	664	819
448	665	816
449	666	814
450	667	812
451	668	810
452	670	809
453	671	807
454	672	805
455	673	803
456	674	801
457	676	800
458	677	799
459	679	797
460	680	795
461	681	793
462	682	792
463	684	790
464	685	788
465	686	787
466	687	785
467	689	783
468	690	781
469	692	780
470	693	778
471	694	776
472	695	775
473	696	773
474	697	771
475	698	769
476	699	767
477	701	765
478	702	764
479	703	762
480	704	760
481	706	759
482	707	757
483	708	755
484	710	754
485	711	752
486	712	750
487	713	748
488	714	746
489	715	744
490	716	743
491	717	741
492	719	739
493	720	738
494	722	737
495	723	735
496	724	733
497	725	731
498	726	729
499	727	727
500	728	726
501	730	724
502	731	722
503	732	720
504	733	718
505	734	717
506	735	715
507	737	714
508	738	712
509	739	710
510	740	708
511	741	707
512	742	705
513	743	703
514	745	701
515	746	699
516	747	698
517	748	696
518	749	694
519	750	693
520	752	691
521	753	690
522	755	688
523	756	686
524	757	685
525	758	683
526	759	681
527	760	679
528	761	677
529	762	675
530	763	674
531	764	672
532	765	671
533	767	669
534	768	667
535	769	665
536	770	664
537	771	662
538	772	660
539	773	658
540	774	656
541	775	655
542	777	654
543	778	652
544	781	652
545	783	651
546	784	649
547	785	647
548	786	645
549	787	644
550	788	642
551	789	640
552	791	639
553	792	638
554	793	636
555	796	636
556	798	635
557	799	633
558	800	631
559	801	629
560	802	628
561	803	626
562	804	624
563	805	623
564	806	621
565	807	619
566	808	617
567	810	616
568	812	615
569	814	614
570	815	612
571	816	610
572	817	609
573	818	607
574	819	605
575	821	604
576	822	602
577	823	600
578	824	599
579	826	598
580	828	597
581	829	595
582	830	593
583	831	592
584	832	590
585	833	589
586	834	587
587	836	585
588	837	584
589	838	582
590	840	581
591	841	580
592	843	578
593	844	577
594	845	575
595	847	574
596	848	572
597	849	571
598	850	569
599	852	568
600	855	568
601	858	567
602	859	565
603	860	564
604	862	563
605	863	561
606	864	559
607	865	557
608	866	556
609	867	554
610	869	553
611	871	552
612	872	551
613	874	549
614	875	548
615	876	546
616	877	544
617	878	543
618	880	541
619	881	540
620	885	540
621	888	540
622	890	538
623	904	544
624	905	543
625	906	541
626	907	540
627	908	538
628	910	536
629	911	535
630	912	533
631	913	531
632	916	531
633	917	529
634	919	528
635	920	526
636	921	525
637	923	523
638	924	522
639	925	520
640	926	518
641	927	516
642	928	515
643	929	513
644	932	513
645	934	512
646	935	510
647	936	508
648	938	507
649	939	505
650	940	503
651	941	502
652	941	500
653	942	498
654	945	497
655	946	496
656	948	494
657	949	493
658	950	491
659	951	490
660	952	488
661	953	486
662	954	485
663	955	483
664	956	481
665	957	480
666	960	479
667	961	477
668	963	476
669	963	474
670	965	473
671	966	471
672	967	469
673	968	468
674	969	466
675	970	465
676	971	463
677	972	461
678	974	460
679	975	459
680	977	457
681	978	456
682	979	454
683	980	453
684	981	451
685	982	449
686	983	448
687	984	446
688	985	444
689	986	443
690	988	441
691	989	440
692	991	439
693	992	437
694	993	435
695	994	434
696	995	432
697	996	431
698	997	429
699	998	427
700	999	426
701	1000	424
702	1001	423
703	1002	421
704	1004	420
705	1005	418
706	1006	417
707	1007	415
708	1008	413
709	1009	412
710	1010	410
711	1011	409
712	1012	407
713	1013	406
714	1015	404
715	1016	403
716	1017	401
717	1019	400
718	1020	398
719	1021	397
720	1022	395
721	1023	394
722	1025	392
723	1026	391
724	1027	389
725	1028	388
726	1029	386
727	1030	384
728	1031	383
729	1033	382
730	1035	380
731	1036	379
732	1037	377
733	1038	376
734	1039	374
735	1040	373
736	1041	371
737	1042	370
738	1043	368
739	1044	367
740	1045	365
741	1047	364
742	1048	362
743	1050	361
744	1051	359
745	1052	358
746	1053	356
747	1054	355
748	1055	353
749	1056	352
750	1057	350
751	1059	349
752	1060	347
753	1061	346
754	1062	344
755	1063	343
756	1064	341
757	1066	340
758	1067	338
759	1068	337
760	1069	335
761	1070	334
762	1072	332
763	1073	331
764	1074	330
765	1075	328
766	1076	327
767	1077	325
768	1078	324
769	1080	322
770	1081	321
771	1082	319
772	1083	318
773	1084	316
774	1085	315
775	1086	313
776	1087	312
777	1088	310
778	1089	309
779	1091	307
780	1093	306
781	1094	305
782	1095	303
783	1096	302
784	1097	300
785	1098	299
786	1100	297
787	1102	296
788	1103	295
789	1104	293
790	1106	292
791	1108	291
792	1109	289
793	1110	288
794	1111	286
795	1113	285
796	1114	283
797	1115	282
798	1116	280
799	1117	279
800	1119	278
801	1121	276
802	1123	275
803	1124	274
804	1125	272
805	1126	271
806	1127	269
807	1128	268
808	1129	266
809	1130	265
810	1131	263
811	1133	262
812	1134	261
813	1136	259
814	1139	258
815	1140	257
816	1141	255
817	1142	254
818	1143	252
819	1144	251
820	1145	249
821	1146	248
822	1147	246
823	1149	245
824	1150	244
825	1152	242
826	1153	241
827	1154	239
828	1156	238
829	1158	237
830	1160	235
831	1161	234
832	1162	233
833	1163	231
834	1165	230
835	1166	228
836	1168	227
837	1169	226
838	1170	224
839	1171	223
840	1172	221
841	1173	220
842	1175	218
843	1176	217
844	1177	215
845	1178	214
846	1180	213
847	1181	211
848	1182	210
849	1183	208
850	1184	207
851	1185	205
852	1186	204
853	1187	203
854	1188	201
855	1189	200
856	1190	198
857	1191	197
858	1193	195
859	1195	194
860	1196	193
861	1197	191
862	1198	190
863	1199	188
864	1200	187
865	1201	185
866	1202	184
867	1203	183
868	1204	181
869	1205	180
870	1207	178
871	1208	177
872	1210	176
873	1211	174
874	1212	173
875	1213	171
876	1214	170
877	1215	168
878	1216	167
879	1217	166
880	1218	164
881	1219	163
882	1220	161
883	1222	160
884	1223	159
885	1224	157
886	1226	156
887	1227	154
888	1228	153
889	1230	152
890	1231	150
891	1234	149
892	1235	148
893	1238	146
894	1241	145
895	1242	144
896	1244	142
897	1263	143
898	1265	142
899	1266	140
900	1268	139
901	1270	137
902	1271	136
